Corpus,Text_ID,Course_level,Proficiency,Modality,Token,Infinitive,Appropriate,Ambiguous,Inappropriate,Form,Obligatory_form,Form_simplified,Obligatory_form_simplified,Frequency,Regularity
COWS_L2H,203950_F18_W,SPA 23,Lower intermediate,Written,abofeteó,abofetear,1,0,0,preterit,preterit,preterit,preterit,0.0912936908,regular
COWS_L2H,172111_F18_W,SPA 2,Lower beginner,Written,abrió,abrir,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.84648061,regular
COWS_L2H,125951_F18_W,SPA 2,Lower beginner,Written,abrí,abrir,1,0,0,preterit,preterit,preterit,preterit,1.84648061,regular
COWS_L2H,201565_F18_W,SPA 23,Lower intermediate,Written,abrí,abrir,1,0,0,preterit,preterit,preterit,preterit,1.84648061,regular
COWS_L2H,132003_F18_W,SPA 3,Upper beginner,Written,abrió,abrir,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.84648061,regular
COWS_L2H,132003_F18_W,SPA 3,Upper beginner,Written,abrió,abrir,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.84648061,regular
COWS_L2H,211246_F18_W,SPA 24,Upper intermediate,Written,abre,abrir,0,0,1,present,preterit,present,preterit,1.84648061,regular
COWS_L2H,205540_F18_W,SPA 22,Lower intermediate,Written,abrió,abrir,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.84648061,regular
COWS_L2H,203249_F18_W,SPA 21,Upper beginner,Written,acababa,acabar,1,0,0,IMPERFECT,IMPERFECT,imperfect,imperfect,1.496017087,regular
COWS_L2H,211683_F18_W,SPA 22,Lower intermediate,Written,acabamos,acabar,0,0,1,PRETERIT,IMPERFECT,preterit,imperfect,1.496017087,regular
COWS_L2H,190771_F18_W,SPA 2,Lower beginner,Written,aceptó,aceptar,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.556340162,regular
COWS_L2H,177126_F18_W,SPA 24,Upper intermediate,Written,aceptaron,aceptar,1,0,0,preterit,preterit,preterit,preterit,1.556340162,regular
COWS_L2H,157984_F18_W,SPA 2,Lower beginner,Written,acosté,acostar,1,0,0,PRETERIT,PRETERIT,preterit,preterit,0.6381523734,regular
COWS_L2H,125951_F18_W,SPA 2,Lower beginner,Written,acuesto,acostar,0,0,1,present,preterit,present,preterit,0.6381523734,regular
COWS_L2H,178147_F18_W,SPA 24,Upper intermediate,Written,adopté,adoptar,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.424298932,regular
COWS_L2H,178147_F18_W,SPA 24,Upper intermediate,Written,adoptamos,adoptar,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.424298932,regular
COWS_L2H,203249_F18_W,SPA 21,Upper beginner,Written,advirtió,advertir,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.504136837,irregular
COWS_L2H,127886_F18_W,SPA 23,Lower intermediate,Written,alcanzé,alcanzar,1,0,0,PRETERIT,PRETERIT,preterit,preterit,1.739625287,regular
